manga_id,title_romaji,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes
30002,Berserk,Berserk,ベルセルク,MANGA,221068,93,1989-08-25,,RELEASING,0.0,0.0
30656,Vagabond,Vagabond,バガボンド,MANGA,144364,92,1998-09-03,,RELEASING,0.0,0.0
31706,JoJo no Kimyou na Bouken: Steel Ball Run,JoJo's Bizarre Adventure: Part 7–Steel Ball Run,ジョジョの奇妙な冒険 スティール・ボール・ラン,MANGA,93405,92,2004-01-19,2011-04-19,FINISHED,95.0,24.0
30001,MONSTER,Monster,MONSTER,MANGA,96925,91,1994-12-05,2001-12-20,FINISHED,162.0,18.0
30013,ONE PIECE,One Piece,ONE PIECE,MANGA,210863,91,1997-07-22,,RELEASING,0.0,0.0
64053,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,Umineko When They Cry Episode 8: Twilight of the Golden Witch,うみねこのなく頃に散 - Episode 8: Twilight of the Golden Witch,MANGA,10274,91,2012-01-21,2015-06-22,FINISHED,42.0,9.0
30051,SLAM DUNK,Slam Dunk,SLAM DUNK,MANGA,67579,90,1990-09-18,1996-06-04,FINISHED,276.0,31.0
30642,Vinland Saga,Vinland Saga,ヴィンランド・サガ,MANGA,125169,90,2005-04-27,2025-07-25,FINISHED,220.0,29.0
30025,Hagane no Renkinjutsushi,Fullmetal Alchemist,鋼の錬金術師,MANGA,72924,89,2001-07-12,2010-06-11,FINISHED,116.0,27.0
30657,Real,Real,リアル,MANGA,44576,89,1999-11-11,,RELEASING,0.0,0.0
46765,Kingdom,Kingdom,キングダム,MANGA,68191,89,2006-01-26,,RELEASING,0.0,0.0
65243,Haikyuu!!,Haikyu!!,ハイキュー！！,MANGA,95411,89,2012-02-20,2020-07-20,FINISHED,404.0,45.0
74489,Houseki no Kuni,Land of the Lustrous,宝石の国,MANGA,72775,89,2012-10-25,2024-04-25,FINISHED,108.0,13.0
110992,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,Not Recorded,ファタモルガーナの館 ―The house in Fata morgana― あなたの原典に至る物語,NOVEL,5516,89,2014-08-04,2016-01-14,FINISHED,21.0,5.0
140407,Yeokdaegeum Yeongji Seolgyesa,The Greatest Estate Developer,역대급 영지 설계사,MANGA,48794,89,2021-08-05,,RELEASING,0.0,0.0
30003,20 Seiki Shounen,20th Century Boys,20世紀少年,MANGA,96329,88,1999-09-27,2006-04-24,FINISHED,249.0,22.0
30026,HUNTER×HUNTER,Hunter x Hunter,HUNTER×HUNTER,MANGA,98232,88,1998-03-03,,RELEASING,0.0,0.0
30028,NANA,Nana,NANA,MANGA,51460,88,2000-05-15,,RELEASING,0.0,0.0
30104,Yotsuba to!,Yotsuba&!,よつばと！,MANGA,58331,88,2003-03-21,,RELEASING,0.0,0.0
31224,3-gatsu no Lion,March Comes in Like a Lion,3月のライオン,MANGA,31558,88,2007-07-13,,RELEASING,0.0,0.0
31303,Ashita no Joe,Ashita no Joe: Fighting for Tomorrow,あしたのジョー,MANGA,26697,88,1968-01-01,1973-05-13,FINISHED,171.0,20.0
34632,Oyasumi Punpun,Goodnight Punpun,おやすみプンプン,MANGA,167898,88,2007-03-15,2013-11-02,FINISHED,147.0,13.0
53751,Nekomonogatari: Shiro,Nekomonogatari: Cat Tale (White),猫物語（白）,NOVEL,7744,88,2010-10-27,2010-10-27,FINISHED,40.0,1.0
85470,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,NOVEL,34113,88,2014-01-23,2022-11-25,FINISHED,334.0,26.0
86082,Dungeon Meshi,Delicious in Dungeon,ダンジョン飯,MANGA,48131,88,2014-02-15,2023-09-15,FINISHED,111.0,14.0
86635,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,MANGA,110511,88,2015-05-19,2022-11-02,FINISHED,281.0,28.0
87395,Grand Blue,Grand Blue Dreaming,ぐらんぶる,MANGA,62503,88,2014-04-07,,RELEASING,0.0,0.0
98361,Mikkakan no Koufuku,Three Days of Happiness,三日間の幸福,NOVEL,31587,88,2013-12-25,2013-12-25,FINISHED,15.0,1.0
98610,86: Eighty Six,86―EIGHTY-SIX,86―エイティシックス―,NOVEL,19200,88,2017-02-10,,RELEASING,0.0,0.0
113869,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 5-bu - Megami no Keshin,Ascendance of a Bookworm: Part 5,本好きの下剋上～司書になるためには手段を選んでいられません～第五部「女神の化身」,NOVEL,1881,88,2020-03-10,2023-12-09,FINISHED,256.0,12.0
135129,Vagabond: Saigo no Manga-ten,Not Recorded,バガボンド 最後のマンガ展,MANGA,7956,88,2008-05-24,2008-10-15,FINISHED,2.0,2.0
140475,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,MANGA,64145,88,2021-10-21,,RELEASING,0.0,0.0
143701,Kizumonogatari,Kizumonogatari: Wound Tale,傷物語,NOVEL,4708,88,2008-05-07,2008-05-07,FINISHED,18.0,1.0
143726,Koimonogatari,Koimonogatari: Love Tale,恋物語,NOVEL,2351,88,2011-12-20,2011-12-20,FINISHED,39.0,1.0
30007,Hajime no Ippo,Hajime no Ippo: Fighting Spirit!,はじめの一歩,MANGA,32059,87,1989-09-27,,RELEASING,0.0,0.0
37375,Kokou no Hito,The Climber,孤高の人,MANGA,59700,87,2007-11-01,2011-11-10,FINISHED,170.0,17.0
39115,Ookami to Koushinryou,Spice & Wolf,狼と香辛料,NOVEL,17524,87,2006-02-10,,RELEASING,0.0,0.0
44893,Bakemonogatari,Bakemonogatari: Monster Tale,化物語,NOVEL,18144,87,2006-11-01,2006-12-04,FINISHED,41.0,2.0
51525,Akatsuki no Yona,Yona of the Dawn,暁のヨナ,MANGA,49151,87,2009-08-05,2025-12-19,RELEASING,0.0,0.0
53900,Umineko no Naku Koro ni Chiru Episode 7: Requiem of the Golden Witch,Umineko When They Cry Episode 7: Requiem of the Golden Witch,うみねこのなく頃に散 - Episode 7: Requiem of the Golden Witch,MANGA,6812,87,2011-04-12,2015-03-12,FINISHED,48.0,9.0
75143,Kono Oto Tomare!,Not Recorded,この音とまれ！,MANGA,21791,87,2012-08-04,,RELEASING,0.0,0.0
85135,Koe no Katachi,A Silent Voice,聲の形,MANGA,84498,87,2013-08-07,2014-11-19,FINISHED,64.0,7.0
85737,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,NOVEL,26232,87,2014-01-24,,RELEASING,0.0,0.0
110802,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 4-bu - Kizoku-in no Jishou Tosho Iin,Ascendance of a Bookworm: Part 4,本好きの下剋上~司書になるためには手段を選んでいられません~第四部「貴族院の自称図書委員」,NOVEL,1980,87,2017-12-09,2019-12-10,FINISHED,209.0,9.0
112275,Tian Guan Ci Fu,Heaven Official's Blessing,天官赐福,MANGA,18152,87,2019-10-19,,RELEASING,0.0,0.0
116170,Veil,Veil,Veil,MANGA,16337,87,2018-05-14,,RELEASING,0.0,0.0
118371,Medalist,Medalist,メダリスト,MANGA,10726,87,2020-05-25,,RELEASING,0.0,0.0
118586,Sousou no Frieren,Frieren: Beyond Journey’s End,葬送のフリーレン,MANGA,74246,87,2020-04-28,,RELEASING,0.0,0.0
143747,Owarimonogatari,Owarimonogatari: End Tale,終物語,NOVEL,2131,87,2013-10-21,2014-04-01,FINISHED,117.0,3.0
143838,Kubishime Romanticist: Ningen Shikkaku - Zerozaki Hitoshiki,Strangulation: Kubishime Romanticist,クビシメロマンチスト　人間失格・零崎人識,NOVEL,3098,87,2002-05-08,2002-05-08,FINISHED,9.0,1.0
